AEGFL,AEGFM,AEGFH,IEIGDPL,IEIGDPM,IEIGDPH
0.006,0.016,0.026,3.68E-06,3.72E-06,3.76E-06
0.006,0.016,0.026,3.95E-06,3.99E-06,4.03E-06
0.006,0.016,0.026,1.75E-06,1.77E-06,1.79E-06
0.006,0.016,0.026,4.91E-06,4.96E-06,5.01E-06
0.006,0.016,0.026,4.90E-06,4.95E-06,5.00E-06
0.007,0.017,0.027,4.95E-06,5.00E-06,5.05E-06
0.02,0.03,0.04,4.62E-06,4.67E-06,4.72E-06
0.006,0.016,0.026,1.60E-05,1.62E-05,1.64E-05
0.006,0.016,0.026,2.72E-05,2.75E-05,2.78E-05
0.006,0.016,0.026,1.47E-05,1.48E-05,1.49E-05
0.006,0.016,0.026,1.96E-05,1.98E-05,2.00E-05
0.03,0.04,0.05,1.33E-05,1.34E-05,1.35E-05
0.035,0.045,0.055,7.02E-06,7.09E-06,7.16E-06
0.036,0.046,0.056,1.02E-05,1.03E-05,1.04E-05
