AEGFL,AEGFM,AEGFH,IEIGDPL,IEIGDPM,IEIGDPH
0.006,0.016,0.026,4.4847E-06,0.00000453,4.5753E-06
0.006,0.016,0.026,4.9104E-06,0.00000496,5.0096E-06
0.006,0.016,0.026,7.0587E-06,0.00000713,7.2013E-06
0.006,0.016,0.026,4.9104E-06,0.00000496,5.0096E-06
0.006,0.016,0.026,3.4254E-06,0.00000346,3.4946E-06
0.006,0.016,0.026,4.9104E-06,0.00000496,5.0096E-06
0.006,0.016,0.026,4.9104E-06,0.00000496,5.0096E-06
0.006,0.016,0.026,4.2669E-06,0.00000431,4.3531E-06
0.006,0.016,0.026,3.7422E-06,0.00000378,3.8178E-06
0.006,0.016,0.026,3.4353E-06,0.00000347,3.5047E-06
0.006,0.016,0.026,4.9104E-06,0.00000496,5.0096E-06
0.006,0.016,0.026,2.9007E-06,0.00000293,2.9593E-06
0.006,0.016,0.026,4.9104E-06,0.00000496,5.0096E-06
0.006,0.016,0.026,4.9104E-06,0.00000496,5.0096E-06
0.006,0.016,0.026,4.9104E-06,0.00000496,5.0096E-06
0.006,0.016,0.026,4.9104E-06,0.00000496,5.0096E-06
0.006,0.016,0.026,0.000005841,0.0000059,0.000005959
0.006,0.016,0.026,4.9104E-06,0.00000496,5.0096E-06
0.006,0.016,0.026,0.000003762,0.0000038,0.000003838
0.006,0.016,0.026,3.1977E-06,0.00000323,3.2623E-06
0.006,0.016,0.026,0.000006732,0.0000068,0.000006868
0.006,0.016,0.026,0.000004257,0.0000043,0.000004343
0.006,0.016,0.026,6.5043E-06,0.00000657,6.6357E-06
0.006,0.016,0.026,4.9104E-06,0.00000496,5.0096E-06
0.006,0.016,0.026,4.9104E-06,0.00000496,5.0096E-06
0.006,0.016,0.026,4.3857E-06,0.00000443,4.4743E-06
0.006,0.016,0.026,0.000003861,0.0000039,0.000003939
0.006,0.016,0.026,2.8215E-06,0.00000285,2.8785E-06
0.006,0.016,0.026,3.9501E-06,0.00000399,4.0299E-06
0.006,0.016,0.026,1.7523E-06,0.00000177,1.7877E-06
0.006,0.016,0.026,4.9104E-06,0.00000496,5.0096E-06
0.006,0.016,0.026,4.9005E-06,0.00000495,4.9995E-06
0.007,0.017,0.027,0.00000495,0.000005,0.00000505
0.02,0.03,0.04,4.6233E-06,0.00000467,4.7167E-06
0.006,0.016,0.026,0.000016038,0.0000162,0.000016362
0.006,0.016,0.026,0.000027225,0.0000275,0.000027775
0.006,0.016,0.026,0.000014652,0.0000148,0.000014948
0.006,0.016,0.026,0.000019602,0.0000198,0.000019998
0.03,0.04,0.05,0.000013266,0.0000134,0.000013534
0.035,0.045,0.055,7.0191E-06,0.00000709,7.1609E-06
0.036,0.046,0.056,0.000010197,0.0000103,0.000010403
